ident,iata_code,type,name,iso_country,latitude_deg,longitude_deg,elevation_ft,runway_count,max_runway,avg_runway
5A8,WKK,medium_airport,Aleknagik / New Airport,US,59.2826004028,-158.617996216,66.0,1,2040.0,2040.0
AGGH,HIR,large_airport,Honiara International Airport,SB,-9.428,160.054993,28.0,1,7218.0,7218.0
AGGM,MUA,medium_airport,Munda Airport,SB,-8.32797,157.263,10.0,1,4593.0,4593.0
AHJ,AHJ,medium_airport,Hongyuan Airport,CN,32.53154,102.35224,11600.0,1,11811.0,11811.0
ANYN,INU,medium_airport,Nauru International Airport,NR,-0.547458,166.919006,22.0,1,7054.0,7054.0
AXF,AXF,medium_airport,Alxa Left Banner Bayanhot Airport,CN,38.74831,105.58858,4560.0,1,7874.0,7874.0
AYBK,BUA,medium_airport,Buka Airport,PG,-5.422319889068604,154.67300415039062,11.0,1,5125.0,5125.0
AYCH,CMU,medium_airport,Chimbu Airport,PG,-6.024290084838867,144.9709930419922,4974.0,1,3330.0,3330.0
AYDU,DAU,medium_airport,Daru Airport,PG,-9.08676,143.207993,20.0,1,4593.0,4593.0
AYGA,GKA,medium_airport,Goroka Airport,PG,-6.081689834590001,145.391998291,5282.0,2,5400.0,4691.5
AYGN,GUR,medium_airport,Gurney Airport,PG,-10.3114995956,150.333999634,88.0,1,5546.0,5546.0
AYGR,PNP,medium_airport,Girua Airport,PG,-8.80453968048,148.309005737,311.0,1,5485.0,5485.0
AYHK,HKN,medium_airport,Hoskins Airport,PG,-5.463846,150.407327,66.0,1,6644.0,6644.0
AYKM,KMA,medium_airport,Kerema Airport,PG,-7.96361017227,145.770996094,10.0,1,3044.0,3044.0
AYKV,KVG,medium_airport,Kavieng Airport,PG,-2.57940006256,150.807998657,7.0,1,5592.0,5592.0
AYMD,MAG,medium_airport,Madang Airport,PG,-5.20707988739,145.789001465,20.0,1,5174.0,5174.0
AYMH,HGU,medium_airport,Mount Hagen Kagamuga Airport,PG,-5.828212,144.299412,5388.0,2,7185.0,5392.0
AYMN,MDU,medium_airport,Mendi Airport,PG,-6.14774,143.656998,5680.0,1,4411.0,4411.0
AYMO,MAS,medium_airport,Momote Airport,PG,-2.06189,147.423996,12.0,1,6136.0,6136.0
AYNZ,LAE,medium_airport,Nadzab Airport,PG,-6.569803,146.725977,239.0,1,7999.0,7999.0
AYPY,POM,large_airport,Port Moresby Jacksons International Airport,PG,-9.44338035583496,147.22000122070312,146.0,2,9022.0,6823.5
AYTK,RAB,medium_airport,Tokua Airport,PG,-4.34046,152.380005,49.0,1,5643.0,5643.0
AYVN,VAI,medium_airport,Vanimo Airport,PG,-2.6926,141.3028,10.0,1,5775.0,5775.0
AYWD,WBM,medium_airport,Wapenamanda Airport,PG,-5.635293,143.892231,5889.0,1,5052.0,5052.0
AYWK,WWK,medium_airport,Wewak International Airport,PG,-3.58383011818,143.669006348,19.0,1,5234.0,5234.0
AZ-0011,FZL,medium_airport,Fuzuli International Airport,AZ,39.594578,47.196128,1247.0,1,9843.0,9843.0
BG-JAM,JAM,medium_airport,Bezmer Air Base,BG,42.4548988342,26.3521995544,509.0,1,8193.0,8193.0
BGAA,JEG,medium_airport,Aasiaat Airport,GL,68.721802,-52.784698,74.0,1,2621.0,2621.0
BGBW,UAK,medium_airport,Narsarsuaq Airport,GL,61.1605,-45.425999,112.0,1,6004.0,6004.0
BGGH,GOH,medium_airport,Nuuk Airport,GL,64.193022,-51.676512,283.0,2,3117.0,3023.5
BGKK,KUS,medium_airport,Kulusuk Airport,GL,65.573601,-37.1236,117.0,1,3934.0,3934.0
BGSF,SFJ,medium_airport,Kangerlussuaq Airport,GL,67.010446,-50.715294,165.0,1,9219.0,9219.0
BGSS,JHS,medium_airport,Sisimiut Airport,GL,66.951302,-53.729301,33.0,1,2621.0,2621.0
BGTL,THU,medium_airport,Thule Air Base,GL,76.531197,-68.703201,251.0,2,9997.0,9997.0
BIAR,AEY,medium_airport,Akureyri Airport,IS,65.66000366210938,-18.07270050048828,6.0,1,7874.0,7874.0
BIEG,EGS,medium_airport,Egilsstaðir Airport,IS,65.2833023071289,-14.401399612426758,76.0,1,6562.0,6562.0
BIHN,HFN,medium_airport,Hornafjörður Airport,IS,64.295601,-15.2272,24.0,1,4921.0,4921.0
BIHU,HZK,medium_airport,Húsavík Airport,IS,65.952301,-17.426001,48.0,1,5266.0,5266.0
BIIS,IFJ,medium_airport,Ísafjörður Airport,IS,66.05809783935547,-23.135299682617188,8.0,1,4593.0,4593.0
