id,airport_ref,ident,length_ft,width_ft
269408,6523,00A,80,80
255155,6524,00AK,2500,70
254165,6525,00AL,2300,200
270932,6526,00AR,40,40
322128,322127,00AS,1450,60
257681,6527,00AZ,1700,60
245528,6528,00CA,6000,80
250597,6529,00CO,3900,20
247972,6531,00FA,3200,100
265037,6532,00FD,74,74
250414,6533,00FL,4090,100
253429,6534,00GA,2600,80
265038,6535,00GE,125,95
265039,6536,00HI,1155,45
246648,6537,00ID,3300,40
246649,6537,00ID,2700,40
252182,6539,00IL,2500,75
265040,6540,00IN,40,40
254597,6541,00IS,1600,70
256603,6542,00KS,2600,85
251984,6543,00KY,2100,100
264322,45437,00LA,40,40
265041,6544,00LL,25,25
255958,6545,00LS,2600,100
255848,6546,00MD,1700,75
265042,6547,00MI,100,100
255865,6548,00MN,2949,200
254820,6549,00MO,2400,25
249208,6551,00N,1900,150
249382,6552,00NC,2650,36
269409,6553,00NJ,50,50
506040,506039,00NR,50,50
248635,6554,00NY,2350,80
255568,6555,00OH,2695,90
269410,6556,00OI,42,42
328512,328503,00OK,2200,60
269411,6558,00PA,80,80
264557,45773,00PN,500,75
251695,6559,00PS,3100,100
250124,6560,00S,2600,90
250457,6561,00SC,2900,100
330392,330391,00SD,2400,50
269412,6562,00TA,85,85
269413,6563,00TE,48,48
251439,6564,00TN,1800,150
248688,6565,00TS,1200,45
269414,6566,00TX,50,50
251342,6568,00VA,1300,100
247311,6569,00VI,1500,50
254777,6570,00W,3400,50
247637,6571,00WA,1105,70
240309,6572,00WI,1000,60
250630,6573,00WN,1440,50
251212,6574,00WV,1800,100
253285,6575,00XS,1475,75
252236,6576,01A,1175,40
265043,6577,01AK,40,40
252134,6578,01AL,2500,160
265044,6579,01AR,55,55
265045,6580,01AZ,210,150
256815,6581,01C,2517,120
265046,6582,01CA,20,20
246361,6583,01CL,3100,50
265047,6584,01CN,60,60
265048,6585,01CO,125,40
265049,6586,01CT,70,70
256042,6587,01FA,2000,100
256043,6587,01FA,1500,100
265050,6588,01FD,110,110
254779,6589,01FL,3000,50
265051,6590,01GA,65,65
251847,6591,01GE,2560,75
253118,6592,01IA,2575,50
258036,6530,01ID,2894,100
265052,6594,01IL,416,216
265053,6595,01IN,45,45
252362,6596,01IS,1300,100
254664,6597,01J,3365,125
249830,6598,01K,2460,110
255679,6599,01KS,2400,100
265054,6600,01KY,40,40
253175,6601,01LA,2000,60
253330,6602,01LL,1600,70
240115,6603,01LS,1800,150
265055,6604,01MA,32,32
257883,6605,01MD,3500,100
256660,6606,01ME,5000,500
256661,6606,01ME,5000,500
265056,6607,01MI,50,50
249395,6608,01MN,10000,600
249396,6608,01MN,10000,600
269415,6609,01MO,37,37
243448,6610,01MT,5000,70
356170,356169,01MU,54,54
246908,6611,01NC,3200,75
246909,6611,01NC,2000,75
252153,6612,01NE,2750,50
249329,6613,01NH,600,50
269416,6614,01NJ,125,80
264064,45537,01NM,2700,70
269417,45537,01NM,2000,70
506123,506122,01NR,50,50
250998,6615,01NV,2000,60
269418,6616,01NY,100,75
347921,347920,01OH,100,100
269419,6617,01OI,30,30
253176,6618,01OK,2640,25
345167,345166,01OL,1600,75
249546,6619,01OR,4800,60
269420,6620,01PA,60,60
254074,6621,01PN,1700,100
255854,6622,01PS,1200,120
255011,6623,01SC,2580,118
269421,6624,01TA,30,30
253218,6625,01TE,2433,55
255290,6626,01TN,2700,100
254937,6628,01TX,500,60
254938,6628,01TX,700,60
248178,6629,01U,2700,75
248179,6629,01U,3400,80
250607,6630,01UT,3200,40
248071,6631,01VA,1500,60
269422,6632,01WA,36,36
239731,6633,01WI,2300,120
269423,6634,01WN,40,40
264636,45900,01WT,28,28
256957,6635,01WY,4360,75
256958,6635,01WY,2600,65
270898,46288,01XA,50,50
269424,6636,01XS,50,50
253115,6637,02AK,2200,45
254694,6638,02AL,2000,150
247597,43030,02AR,4400,45
250723,6640,02AZ,4500,80
265057,6641,02CA,55,55
252831,6642,02CD,2500,100
249787,6643,02CL,3000,60
255048,6644,02CO,2670,50
265058,6645,02CT,50,50
246559,6646,02FA,2485,150
341547,341544,02FD,3443,150
264162,45347,02FL,1800,100
255300,6648,02GA,1200,100
255301,6648,02GA,1500,100
256885,6649,02GE,3400,100
265059,6650,02HI,100,100
265060,6651,02IA,50,50
252347,6652,02ID,2000,100
250386,6653,02II,1100,100
252716,6654,02IN,1020,150
265061,6655,02IS,40,40
248000,6656,02KS,1650,100
248001,6656,02KS,1950,150
265062,6657,02KY,100,100
265063,6658,02LA,20,20
265064,6659,02LS,24,24
265065,6660,02MA,50,50
506080,322099,02MD,2000,75
250960,6661,02ME,2400,60
254744,6662,02MI,2000,100
254275,6663,02MN,1897,192
254276,6663,02MN,2500,192
254277,6663,02MN,2553,82
254497,6664,02MO,2200,50
254981,6665,02MS,2150,60
247902,6667,02MU,1900,125
264707,45686,02NC,100,100
247920,6669,02NH,3000,300
269425,6669,02NH,20,20
506037,506036,02NR,50,50
254643,6671,02NV,2200,50
269426,6672,02NY,25,25
256138,6673,02OH,2750,50
246764,6674,02OI,1500,75
256203,6676,02OR,2000,30
269427,6677,02P,100,100
269428,6678,02PA,60,50
269429,6679,02PN,40,40
249606,6680,02PR,2000,50
256249,6681,02PS,500,100
254954,6682,02SC,3600,150
256315,6683,02T,4050,60
269430,6684,02TA,32,32
269431,6685,02TE,40,40
257585,6686,02TN,1600,120
253685,6688,02TX,4800,80
256179,6689,02UT,4000,30
256180,6689,02UT,4000,50
247487,6690,02VA,3000,80
253964,6692,02WA,2650,50
253202,6693,02WI,2200,60
251734,6694,02WN,1500,30
330469,330393,02XA,1950,50
251224,6695,02XS,1500,40
251225,6695,02XS,1320,40
248733,6696,03AK,1000,70
248735,6696,03AK,6000,500
248734,6696,03AK,2600,500
265066,6697,03AL,50,50
265067,6698,03AR,117,117
248069,6699,03AZ,3600,60
265068,6700,03CA,40,40
245857,6701,03CO,4000,30
248602,6702,03FA,2000,200
258132,6703,03FD,2000,50
265069,6704,03FL,50,40
322728,322717,03GA,1990,65
