id,airport_ref,ident,length_ft,width_ft,runway_count,max_runway
269408,6523,00A,80.0,80.0,1,80.0
255155,6524,00AK,2500.0,70.0,1,2500.0
254165,6525,00AL,2300.0,200.0,1,2300.0
270932,6526,00AR,40.0,40.0,1,40.0
322128,322127,00AS,1450.0,60.0,1,1450.0
257681,6527,00AZ,1700.0,60.0,1,1700.0
245528,6528,00CA,6000.0,80.0,1,6000.0
250597,6529,00CO,3900.0,20.0,1,3900.0
247972,6531,00FA,3200.0,100.0,1,3200.0
265037,6532,00FD,74.0,74.0,1,74.0
250414,6533,00FL,4090.0,100.0,1,4090.0
253429,6534,00GA,2600.0,80.0,1,2600.0
265038,6535,00GE,125.0,95.0,1,125.0
265039,6536,00HI,1155.0,45.0,1,1155.0
246648,6537,00ID,3300.0,40.0,2,3300.0
246649,6537,00ID,2700.0,40.0,2,3300.0
252182,6539,00IL,2500.0,75.0,1,2500.0
265040,6540,00IN,40.0,40.0,1,40.0
254597,6541,00IS,1600.0,70.0,1,1600.0
256603,6542,00KS,2600.0,85.0,1,2600.0
251984,6543,00KY,2100.0,100.0,1,2100.0
264322,45437,00LA,40.0,40.0,1,40.0
265041,6544,00LL,25.0,25.0,1,25.0
255958,6545,00LS,2600.0,100.0,1,2600.0
255848,6546,00MD,1700.0,75.0,1,1700.0
265042,6547,00MI,100.0,100.0,1,100.0
255865,6548,00MN,2949.0,200.0,1,2949.0
254820,6549,00MO,2400.0,25.0,1,2400.0
249208,6551,00N,1900.0,150.0,1,1900.0
249382,6552,00NC,2650.0,36.0,1,2650.0
269409,6553,00NJ,50.0,50.0,1,50.0
506040,506039,00NR,50.0,50.0,1,50.0
248635,6554,00NY,2350.0,80.0,1,2350.0
255568,6555,00OH,2695.0,90.0,1,2695.0
269410,6556,00OI,42.0,42.0,1,42.0
328512,328503,00OK,2200.0,60.0,1,2200.0
269411,6558,00PA,80.0,80.0,1,80.0
264557,45773,00PN,500.0,75.0,1,500.0
251695,6559,00PS,3100.0,100.0,1,3100.0
250124,6560,00S,2600.0,90.0,1,2600.0
250457,6561,00SC,2900.0,100.0,1,2900.0
330392,330391,00SD,2400.0,50.0,1,2400.0
269412,6562,00TA,85.0,85.0,1,85.0
269413,6563,00TE,48.0,48.0,1,48.0
251439,6564,00TN,1800.0,150.0,1,1800.0
248688,6565,00TS,1200.0,45.0,1,1200.0
269414,6566,00TX,50.0,50.0,1,50.0
251342,6568,00VA,1300.0,100.0,1,1300.0
247311,6569,00VI,1500.0,50.0,1,1500.0
254777,6570,00W,3400.0,50.0,1,3400.0
247637,6571,00WA,1105.0,70.0,1,1105.0
240309,6572,00WI,1000.0,60.0,1,1000.0
250630,6573,00WN,1440.0,50.0,1,1440.0
251212,6574,00WV,1800.0,100.0,1,1800.0
253285,6575,00XS,1475.0,75.0,1,1475.0
252236,6576,01A,1175.0,40.0,1,1175.0
265043,6577,01AK,40.0,40.0,1,40.0
252134,6578,01AL,2500.0,160.0,1,2500.0
265044,6579,01AR,55.0,55.0,1,55.0
265045,6580,01AZ,210.0,150.0,1,210.0
256815,6581,01C,2517.0,120.0,1,2517.0
265046,6582,01CA,20.0,20.0,1,20.0
246361,6583,01CL,3100.0,50.0,1,3100.0
265047,6584,01CN,60.0,60.0,1,60.0
265048,6585,01CO,125.0,40.0,1,125.0
265049,6586,01CT,70.0,70.0,1,70.0
256042,6587,01FA,2000.0,100.0,2,2000.0
256043,6587,01FA,1500.0,100.0,2,2000.0
265050,6588,01FD,110.0,110.0,1,110.0
254779,6589,01FL,3000.0,50.0,1,3000.0
265051,6590,01GA,65.0,65.0,1,65.0
251847,6591,01GE,2560.0,75.0,1,2560.0
253118,6592,01IA,2575.0,50.0,1,2575.0
258036,6530,01ID,2894.0,100.0,1,2894.0
265052,6594,01IL,416.0,216.0,1,416.0
265053,6595,01IN,45.0,45.0,1,45.0
252362,6596,01IS,1300.0,100.0,1,1300.0
254664,6597,01J,3365.0,125.0,1,3365.0
249830,6598,01K,2460.0,110.0,1,2460.0
255679,6599,01KS,2400.0,100.0,1,2400.0
265054,6600,01KY,40.0,40.0,1,40.0
253175,6601,01LA,2000.0,60.0,1,2000.0
253330,6602,01LL,1600.0,70.0,1,1600.0
240115,6603,01LS,1800.0,150.0,1,1800.0
265055,6604,01MA,32.0,32.0,1,32.0
257883,6605,01MD,3500.0,100.0,1,3500.0
256660,6606,01ME,5000.0,500.0,2,5000.0
256660,6606,01ME,5000.0,500.0,2,5000.0
256661,6606,01ME,5000.0,500.0,2,5000.0
256661,6606,01ME,5000.0,500.0,2,5000.0
265056,6607,01MI,50.0,50.0,1,50.0
249395,6608,01MN,10000.0,600.0,2,10000.0
249395,6608,01MN,10000.0,600.0,2,10000.0
249396,6608,01MN,10000.0,600.0,2,10000.0
249396,6608,01MN,10000.0,600.0,2,10000.0
269415,6609,01MO,37.0,37.0,1,37.0
243448,6610,01MT,5000.0,70.0,1,5000.0
356170,356169,01MU,54.0,54.0,1,54.0
246908,6611,01NC,3200.0,75.0,2,3200.0
246909,6611,01NC,2000.0,75.0,2,3200.0
252153,6612,01NE,2750.0,50.0,1,2750.0
249329,6613,01NH,600.0,50.0,1,600.0
269416,6614,01NJ,125.0,80.0,1,125.0
264064,45537,01NM,2700.0,70.0,2,2700.0
269417,45537,01NM,2000.0,70.0,2,2700.0
506123,506122,01NR,50.0,50.0,1,50.0
250998,6615,01NV,2000.0,60.0,1,2000.0
269418,6616,01NY,100.0,75.0,1,100.0
347921,347920,01OH,100.0,100.0,1,100.0
269419,6617,01OI,30.0,30.0,1,30.0
253176,6618,01OK,2640.0,25.0,1,2640.0
345167,345166,01OL,1600.0,75.0,1,1600.0
249546,6619,01OR,4800.0,60.0,1,4800.0
269420,6620,01PA,60.0,60.0,1,60.0
254074,6621,01PN,1700.0,100.0,1,1700.0
255854,6622,01PS,1200.0,120.0,1,1200.0
255011,6623,01SC,2580.0,118.0,1,2580.0
269421,6624,01TA,30.0,30.0,1,30.0
253218,6625,01TE,2433.0,55.0,1,2433.0
255290,6626,01TN,2700.0,100.0,1,2700.0
254937,6628,01TX,500.0,60.0,2,700.0
254938,6628,01TX,700.0,60.0,2,700.0
248178,6629,01U,2700.0,75.0,2,3400.0
248179,6629,01U,3400.0,80.0,2,3400.0
250607,6630,01UT,3200.0,40.0,1,3200.0
248071,6631,01VA,1500.0,60.0,1,1500.0
269422,6632,01WA,36.0,36.0,1,36.0
239731,6633,01WI,2300.0,120.0,1,2300.0
269423,6634,01WN,40.0,40.0,1,40.0
264636,45900,01WT,28.0,28.0,1,28.0
